index,Timestamp,n-payments-per-block,miners-revenue,trade-volume,avg-block-size,n-unique-addresses,difficulty,hash-rate
254,7/13/2019 0:00,3591,0.211152515,0.062501535,1.048582589,0.252804073,906,65.236286
992,7/20/2021 0:00,4498,0.251051468,0.063870674,1.286061041,0.423070935,1370,104.62622
312,9/9/2019 0:00,3623,0.191956055,0.011921167,1.089865103,0.352567416,1080,84.070181
448,1/23/2020 0:00,3124,0.165584026,0.011616554,1.039634667,0.349198169,1480,111.334855
221,6/10/2019 0:00,4058,0.154317199,0.015731605,1.150810567,0.462374665,746,53.981196
235,6/24/2019 0:00,3951,0.278344051,0.021049187,1.215810192,0.543702124,741,56.406072
570,5/24/2020 0:00,3607,0.034702334,0.013957372,1.41277356,0.457281871,1510,90.689769
584,6/7/2020 0:00,2892,0.06826535,0.015367977,0.861702465,0.522147661,1370,111.435315
305,9/2/2019 0:00,3659,0.197352023,0.006255139,1.055764356,0.342255714,1080,76.949688
785,12/25/2020 0:00,4267,0.25329934,0.10084619,1.285844181,0.633606838,1870,135.900227
630,7/23/2020 0:00,4744,0.062717009,0.024596999,1.293743603,0.463863113,1730,113.943059
1033,8/30/2021 0:00,4220,0.483950981,0.050459638,1.178416407,0.629104129,1760,131.124515
249,7/8/2019 0:00,3638,0.308607538,0.01333843,1.064795584,0.486281684,793,65.363802
652,8/14/2020 0:00,4297,0.119770627,0.04305613,1.264694557,0.532446908,1690,125.375834
883,4/2/2021 0:00,5567,0.696330874,0.113298015,1.314276629,0.706206016,2310,163.507251
71,1/11/2019 0:00,3300,0.02838478,0.138867375,0.983164703,0.274848976,562,43.211996
94,2/3/2019 0:00,3086,0.018242624,0.015292015,0.93550021,0.123759108,581,42.24987
33,12/4/2018 0:00,3195,0.031385668,0.130687725,1.083459616,0.284681136,565,37.757484
695,9/26/2020 0:00,3722,0.080692792,0.032947397,1.312045573,0.662531918,1930,136.694669
259,7/18/2019 0:00,5458,0.14921558,0.102566293,1.261034248,0.433046335,906,65.656209
204,5/24/2019 0:00,4648,0.161133391,0.039684385,1.254131843,0.520146976,670,52.65611
440,1/15/2020 0:00,3476,0.160598676,0.093660365,1.065171907,0.381378838,1480,102.912017
668,8/30/2020 0:00,4155,0.070105159,0.007163524,1.310540197,0.629484026,1760,125.523153
946,6/4/2021 0:00,4754,0.367741213,0.130623198,1.290167015,0.475118328,2100,152.576709
77,1/17/2019 0:00,3540,0.01621798,0.066902416,1.097214181,0.237838637,588,40.378612
84,1/24/2019 0:00,2861,0.035736986,0.056464517,0.911348741,0.249620103,588,40.991036
390,11/26/2019 0:00,4175,0.086093528,0.07114352,1.254087262,0.414928069,1300,90.238982
82,1/22/2019 0:00,3396,0.015598027,0.055377266,1.055254915,0.217970356,588,40.531402
588,6/11/2020 0:00,3400,0.090152403,0.042063093,1.382471195,0.300228872,1370,114.994338
590,6/13/2020 0:00,3290,0.06563548,0.033773697,1.067535646,0.581430217,1370,115.951098
936,5/25/2021 0:00,5102,0.369658791,0.318088158,1.359462618,0.476913496,2500,143.71638
601,6/24/2020 0:00,4168,0.052022246,0.024287353,1.288159849,0.368122937,1580,110.749704
848,2/26/2021 0:00,5754,0.565898646,0.281186715,1.293684331,0.681835025,2170,156.295152
518,4/2/2020 0:00,3502,0.110618397,0.045110373,1.115204471,0.263870897,1390,104.989802
587,6/10/2020 0:00,3674,0.075949054,0.040368746,1.080857506,0.35964844,1370,113.943905
5,11/6/2018 0:00,3426,0.075780682,0.042885878,1.072038438,0.325748895,718,53.157631
310,9/7/2019 0:00,3371,0.204321674,0.058381254,0.92503502,0.252502024,1080,81.911711
531,4/15/2020 0:00,3414,0.131013629,0.025776069,1.176886651,0.419314006,1470,115.878649
104,2/13/2019 0:00,3419,0.030587119,0.043730192,1.153285621,0.367683876,606,44.492827
97,2/6/2019 0:00,3039,0.030716142,0.015691836,1.050370409,0.268628947,581,42.324946
939,5/28/2021 0:00,5094,0.334092813,0.146537843,1.343872412,0.450256897,2500,148.163051
501,3/16/2020 0:00,4194,0.042688771,0.055457926,1.193453008,0.259017874,1660,108.109035
314,9/11/2019 0:00,3021,0.256016196,0.026466209,0.953451777,0.384151772,1080,85.217636
490,3/5/2020 0:00,3302,0.184039296,0.014105453,0.999121178,0.453973345,1550,119.877989
780,12/20/2020 0:00,3897,0.256412087,0.127301963,1.344026093,0.735841066,1870,136.823648
1001,7/29/2021 0:00,3878,0.479900753,0.196816156,1.022161838,0.255823006,1370,104.086353
281,8/9/2019 0:00,3911,0.240466444,0.058660228,1.156579728,0.393473252,999,74.960524
711,10/12/2020 0:00,4091,0.090700733,0.011002876,1.184181315,0.67409541,1930,138.141089
266,7/25/2019 0:00,3725,0.197854754,0.057660502,1.133330787,0.402486455,901,64.609474
543,4/27/2020 0:00,4081,0.123573337,0.018185972,1.179406794,0.575686616,1600,111.554967
238,6/27/2019 0:00,4897,0.251879552,0.1567091,1.233317704,0.597708165,787,57.195337
411,12/17/2019 0:00,3569,0.098737391,0.020783394,1.314409858,0.38484773,1290,91.170137
145,3/26/2019 0:00,4260,0.028001934,0.034258608,1.207859007,0.331383509,638,47.277877
1010,8/7/2021 0:00,3044,0.545438254,0.136781703,0.791597707,0.492528181,1450,110.879829
604,6/27/2020 0:00,3758,0.044942179,0.036756489,1.105369536,0.484073924,1580,115.233498
118,2/27/2019 0:00,3766,0.028280072,0.032249021,1.125122057,0.326368562,607,42.855236
922,5/11/2021 0:00,4859,0.793857164,0.27725218,1.349528221,0.688536152,2060,178.111649
566,5/20/2020 0:00,4729,0.054885131,0.064076578,1.327850148,0.386208507,1520,94.810873
250,7/9/2019 0:00,3958,0.273745256,0.079737341,1.155262513,0.487306159,859,67.335985
