Timestamp,trade-volume
2019-05-18 00:00:00,455963414.1714
2019-05-19 00:00:00,117316463.303
2019-05-20 00:00:00,293462035.909
2019-05-21 00:00:00,251989801.6221
2019-05-22 00:00:00,141589252.425
2019-05-23 00:00:00,162680990.5773
2019-05-24 00:00:00,151053338.865
2019-05-25 00:00:00,157606998.691
2019-05-26 00:00:00,62381654.186
2019-05-27 00:00:00,190510656.1068
2019-05-28 00:00:00,179353690.6408
2019-05-29 00:00:00,134279873.6864
2019-05-30 00:00:00,139788877.323
2019-05-31 00:00:00,291707289.8516
2019-06-01 00:00:00,174940725.8199
2019-06-02 00:00:00,79112822.796
2019-06-03 00:00:00,80345418.3558
2019-06-04 00:00:00,189061316.5932
2019-06-05 00:00:00,298320274.032
2019-06-06 00:00:00,156168263.7188
2019-06-07 00:00:00,155472100.7461
2019-06-08 00:00:00,152941461.7733
2019-06-09 00:00:00,76557021.4098
2019-06-10 00:00:00,75192236.2893
2019-06-11 00:00:00,137334731.2236
2019-06-12 00:00:00,119201858.8772
2019-06-13 00:00:00,170534084.3934
2019-06-14 00:00:00,118173871.4184
2019-06-15 00:00:00,165814336.84
2019-06-16 00:00:00,110733186.6095
2019-06-17 00:00:00,291304564.4609
2019-06-18 00:00:00,236199962.5896
2019-06-19 00:00:00,91483265.5482
2019-06-20 00:00:00,64175901.408
2019-06-21 00:00:00,88441301.3365
2019-06-22 00:00:00,134167792.3956
2019-06-23 00:00:00,210388797.5616
2019-06-24 00:00:00,92033603.9856
2019-06-25 00:00:00,90826286.85
2019-06-26 00:00:00,188227336.128
2019-06-27 00:00:00,521683547.94
2019-06-28 00:00:00,423175771.1325
2019-06-29 00:00:00,251088678.311
2019-06-30 00:00:00,184877335.6224
2019-07-01 00:00:00,172764921.5896
2019-07-02 00:00:00,171482109.072
2019-07-03 00:00:00,240430090.968
2019-07-04 00:00:00,273546634.0104
2019-07-05 00:00:00,130466909.3343
2019-07-06 00:00:00,124193828.6496
2019-07-07 00:00:00,85554897.9616
2019-07-08 00:00:00,67612787.4615
2019-07-09 00:00:00,277905476.8152
2019-07-10 00:00:00,364111378.7824
2019-07-11 00:00:00,507237487.92
2019-07-12 00:00:00,400745298.7161
2019-07-13 00:00:00,223317773.9139
2019-07-14 00:00:00,237143042.963
2019-07-15 00:00:00,163504273.436
2019-07-16 00:00:00,334140371.565
2019-07-17 00:00:00,413796084.0888
2019-07-18 00:00:00,350207291.3724
2019-07-19 00:00:00,400333480.9952
2019-07-20 00:00:00,266367992.225
2019-07-21 00:00:00,231375270.501
2019-07-22 00:00:00,149533508.4911
2019-07-23 00:00:00,207597158.399
2019-07-24 00:00:00,198778566.675
2019-07-25 00:00:00,207985687.0299
2019-07-26 00:00:00,132194259.4601
2019-07-27 00:00:00,122793165.173
2019-07-28 00:00:00,196200932.7257
2019-07-29 00:00:00,93425734.9
2019-07-30 00:00:00,110257993.9584
2019-07-31 00:00:00,115667921.712
2019-08-01 00:00:00,171671948.947
2019-08-02 00:00:00,173753010.8067
2019-08-03 00:00:00,194052551.7015
2019-08-04 00:00:00,142750701.8145
2019-08-05 00:00:00,165486450.2013
2019-08-06 00:00:00,360876818.5806
2019-08-07 00:00:00,385189642.2768
2019-08-08 00:00:00,364388175.423
2019-08-09 00:00:00,211151931.4766
2019-08-10 00:00:00,180122399.3216
2019-08-11 00:00:00,185394290.3946
2019-08-12 00:00:00,104661395.056
2019-08-13 00:00:00,84492311.643
2019-08-14 00:00:00,193935252.602
2019-08-15 00:00:00,280655886.4672
2019-08-16 00:00:00,339458149.8472
2019-08-17 00:00:00,242929696.7552
2019-08-18 00:00:00,91003712.31
2019-08-19 00:00:00,77572050.192
