Timestamp,miners-revenue
2019-07-10 00:00:00,21508972.6758214
2019-07-11 00:00:00,19960968.6079638
2019-07-12 00:00:00,24773188.3315347
2019-07-13 00:00:00,20609810.0301931
2019-07-14 00:00:00,20182908.1297771
2019-07-15 00:00:00,19638311.2811761
2019-07-16 00:00:00,22149573.0409782
2019-07-17 00:00:00,16501101.4444106
2019-07-18 00:00:00,15933222.4948449
2019-07-19 00:00:00,16208139.7509873
2019-07-20 00:00:00,24399901.5665187
2019-07-21 00:00:00,20103997.7422695
2019-07-22 00:00:00,21529384.3624169
2019-07-23 00:00:00,18769327.203324
2019-07-24 00:00:00,17345757.0026475
2019-07-25 00:00:00,19605754.2098214
2019-07-26 00:00:00,20745948.0011575
2019-07-27 00:00:00,18834366.1429315
2019-07-28 00:00:00,20994348.8070565
2019-07-29 00:00:00,20887751.4846716
2019-07-30 00:00:00,17750997.0400789
2019-07-31 00:00:00,21676009.1554116
2019-08-01 00:00:00,18606541.3941747
2019-08-02 00:00:00,22617508.8714294
2019-08-03 00:00:00,23901417.8952569
2019-08-04 00:00:00,23105969.697715
2019-08-05 00:00:00,22256372.3249701
2019-08-06 00:00:00,24239820.6588186
2019-08-07 00:00:00,23489547.2769286
2019-08-08 00:00:00,22052437.2260143
2019-08-09 00:00:00,22823177.0107999
2019-08-10 00:00:00,22285954.3660375
2019-08-11 00:00:00,22402406.2328598
2019-08-12 00:00:00,19835024.1828409
2019-08-13 00:00:00,23339417.3415891
2019-08-14 00:00:00,20751478.0270537
2019-08-15 00:00:00,20403806.3045699
2019-08-16 00:00:00,20175209.2411482
2019-08-17 00:00:00,16818757.380567
2019-08-18 00:00:00,16497323.400871
2019-08-19 00:00:00,22512416.2143436
2019-08-20 00:00:00,21381940.8221323
2019-08-21 00:00:00,18133519.9255694
2019-08-22 00:00:00,18244786.7421254
2019-08-23 00:00:00,20303216.6174991
2019-08-24 00:00:00,20913191.154222
2019-08-25 00:00:00,20023054.2210009
2019-08-26 00:00:00,18051599.1536065
2019-08-27 00:00:00,17790117.8193427
2019-08-28 00:00:00,19285143.4357694
2019-08-29 00:00:00,20199158.8493224
2019-08-30 00:00:00,19625872.0325795
2019-08-31 00:00:00,20380765.5464991
2019-09-01 00:00:00,17386554.1806439
2019-09-02 00:00:00,19567794.8424031
2019-09-03 00:00:00,22232234.965443
2019-09-04 00:00:00,18375693.837806
2019-09-05 00:00:00,22456931.6286019
2019-09-06 00:00:00,21464687.5948385
2019-09-07 00:00:00,20094042.8606613
2019-09-08 00:00:00,23644815.6797411
2019-09-09 00:00:00,19160369.4909431
2019-09-10 00:00:00,23662199.3205437
2019-09-11 00:00:00,23997270.4992307
2019-09-12 00:00:00,20481339.8621805
2019-09-13 00:00:00,19643241.8545153
2019-09-14 00:00:00,20523303.2794348
2019-09-15 00:00:00,19411747.0473599
2019-09-16 00:00:00,21460937.0914746
2019-09-17 00:00:00,19262723.365071
2019-09-18 00:00:00,22533478.5270288
2019-09-19 00:00:00,19373703.7112655
2019-09-20 00:00:00,19539823.5858986
2019-09-21 00:00:00,21079948.1168425
2019-09-22 00:00:00,21169975.568586
2019-09-23 00:00:00,14647183.7982298
2019-09-24 00:00:00,19220354.7854656
2019-09-25 00:00:00,17222704.4025811
2019-09-26 00:00:00,18142040.4350672
2019-09-27 00:00:00,13731933.7325467
2019-09-28 00:00:00,16399123.5708253
2019-09-29 00:00:00,14292283.4733979
2019-09-30 00:00:00,13436667.5184307
2019-10-01 00:00:00,15347785.3282141
2019-10-02 00:00:00,15983802.9460234
2019-10-03 00:00:00,15446657.0071901
2019-10-04 00:00:00,15198779.2000248
2019-10-05 00:00:00,16377861.1718337
2019-10-06 00:00:00,15379216.3300375
2019-10-07 00:00:00,15743886.0120569
2019-10-08 00:00:00,17060959.4496355
2019-10-09 00:00:00,14626389.9733706
2019-10-10 00:00:00,17831123.6787614
2019-10-11 00:00:00,17060812.1042193
2019-10-12 00:00:00,14021139.9221787
2019-10-13 00:00:00,15185999.1606783
2019-10-14 00:00:00,14628224.1898534
2019-10-15 00:00:00,16240085.9584146
2019-10-16 00:00:00,14633533.2162171
2019-10-17 00:00:00,15858419.0770184
2019-10-18 00:00:00,16329289.2152908
2019-10-19 00:00:00,14484979.8988221
2019-10-20 00:00:00,14984777.0324384
2019-10-21 00:00:00,16722180.4358311
