Timestamp,n-payments-per-block,miners-revenue,trade-volume,avg-block-size,n-unique-addresses,difficulty,hash-rate
2/2/2019 0:00,3237,6325531,119780828,0.981337799,418174,5810000000000,42571474
2/3/2019 0:00,3086,6044025,73800005,0.93550021,389608,5810000000000,42249870
2/4/2019 0:00,3244,6411524,80969399,1.012398531,456122,5810000000000,42223715
2/5/2019 0:00,3504,6422102,63553034,1.051188286,503603,5810000000000,42283654
2/6/2019 0:00,3039,6985846,75066281,1.050370409,482655,5810000000000,42324946
2/7/2019 0:00,2854,7375022,143900702,0.942216902,474847,5810000000000,43481140
2/8/2019 0:00,3165,7184754,58905095,0.984610681,516886,5810000000000,44265700
2/9/2019 0:00,2937,6845104,301771988,0.934364993,422178,5810000000000,44472163
2/10/2019 0:00,3006,6454980,106699454,0.899240979,380922,5890000000000,44719919
2/11/2019 0:00,3194,6693602,153422579,1.09110111,463119,6060000000000,44881391
2/12/2019 0:00,3463,6031365,145036525,1.304964063,486292,6060000000000,45052997
2/13/2019 0:00,3419,6976104,163866857,1.153285621,546276,6060000000000,44492827
2/14/2019 0:00,3583,6566282,238668724,1.111246972,473265,6060000000000,44306825
2/15/2019 0:00,3613,5762323,162192885,1.101274228,467228,6060000000000,43191347
2/16/2019 0:00,3246,6898485,120798170,1.008760027,452438,6060000000000,41927449
2/17/2019 0:00,2912,7185045,93191939,0.881877836,393160,6060000000000,42190406
2/18/2019 0:00,3370,7556019,224982995,1.080017019,508261,6060000000000,43174814
2/19/2019 0:00,3457,7748246,429150387,1.060471256,538532,6060000000000,43605270
2/20/2019 0:00,3849,6596656,374321249,1.1915221,521878,6060000000000,44810549
2/21/2019 0:00,3962,6051778,235445371,1.178449504,491327,6060000000000,43820499
2/22/2019 0:00,3391,8096364,196426384,1.085184228,542172,6060000000000,42873494
2/23/2019 0:00,3324,7190248,157385980,0.982793762,441275,6060000000000,44380092
2/24/2019 0:00,3487,7119748,242874099,1.044065358,433694,6060000000000,44078773
2/25/2019 0:00,3665,6913971,400105759,1.109526161,502106,6070000000000,43134261
2/26/2019 0:00,3464,7878415,1734750236,1.092907348,532149,6070000000000,42628201
2/27/2019 0:00,3766,6801909,127504717,1.125122057,519740,6070000000000,42855236
2/28/2019 0:00,3687,7350871,226984140,1.130737273,523892,6070000000000,43339080
3/1/2019 0:00,3526,7830758,245942956,1.053071407,552623,6070000000000,44684496
3/2/2019 0:00,3905,6565215,156175560,1.155579258,481021,6070000000000,44696377
3/3/2019 0:00,3359,7016671,120293270,1.003580384,420093,6070000000000,44232555
3/4/2019 0:00,3532,6497312,79501798,1.104753978,506186,6070000000000,44628180
3/5/2019 0:00,3265,7114388,216413667,1.029825181,536821,6070000000000,44369466
3/6/2019 0:00,3678,6388631,278485173,1.235649305,524992,6070000000000,43852038
3/7/2019 0:00,3364,7588199,148582990,1.008441944,524085,6070000000000,43291491
3/8/2019 0:00,3369,7193574,136348518,0.998636589,545571,6070000000000,42946539
3/9/2019 0:00,2949,7087595,317288683,0.882423514,458538,6070000000000,42256635
3/10/2019 0:00,2561,6690849,111238999,0.783473353,392557,6070000000000,42515349
3/11/2019 0:00,3507,6977450,83936704,1.099574324,554792,6070000000000,42083550
3/12/2019 0:00,3405,7088006,116557011,1.004161133,532589,6070000000000,42296166
3/13/2019 0:00,3462,6637474,209075743,1.163580696,515962,6070000000000,42034451
3/14/2019 0:00,3301,7600599,159688391,1.043826619,551001,6070000000000,42333452
3/15/2019 0:00,3388,7723229,168146955,0.987588412,558693,6070000000000,42890747
3/16/2019 0:00,2609,8496146,296835129,0.788659847,468300,6070000000000,43189370
